onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
104.882	n/a	52441	surroundSuppB1_start	93	n/a	n/a	n/a
106.578	n/a	53289	fixpoint_ON	4	n/a	n/a	n/a
107.21	2.4	53605	stim_ON	8	1	0	2
112.544	n/a	56272	fixpoint_ON	4	n/a	n/a	n/a
113.062	2.4	56531	stim_ON	8	1	0.3	3
118.374	n/a	59187	fixpoint_ON	4	n/a	n/a	n/a
118.892	2.4	59446	stim_ON	8	1	0.6	1
124.204	n/a	62102	fixpoint_ON	4	n/a	n/a	n/a
124.724	2.4	62362	stim_ON	8	1	1	2
130.034	n/a	65017	fixpoint_ON	4	n/a	n/a	n/a
130.55	2.4	65275	stim_ON	8	1	0	3
135.864	n/a	67932	fixpoint_ON	4	n/a	n/a	n/a
136.38	2.4	68190	stim_ON	8	1	0.3	2
141.694	n/a	70847	fixpoint_ON	4	n/a	n/a	n/a
142.214	2.4	71107	stim_ON	8	1	0.6	1
147.524	n/a	73762	fixpoint_ON	4	n/a	n/a	n/a
148.042	2.4	74021	stim_ON	8	1	1	3
153.354	n/a	76677	fixpoint_ON	4	n/a	n/a	n/a
153.872	2.4	76936	stim_ON	8	1	0	2
159.184	n/a	79592	fixpoint_ON	4	n/a	n/a	n/a
159.702	2.4	79851	stim_ON	8	1	0.3	3
165.016	n/a	82508	fixpoint_ON	4	n/a	n/a	n/a
165.53	2.4	82765	stim_ON	8	1	0.6	1
170.844	n/a	85422	fixpoint_ON	4	n/a	n/a	n/a
171.362	2.4	85681	stim_ON	8	1	1	2
176.674	n/a	88337	fixpoint_ON	4	n/a	n/a	n/a
177.192	2.4	88596	stim_ON	8	0	0	3
182.504	n/a	91252	fixpoint_ON	4	n/a	n/a	n/a
183.022	2.4	91511	stim_ON	8	0	0.3	1
188.334	n/a	94167	fixpoint_ON	4	n/a	n/a	n/a
188.852	2.4	94426	stim_ON	8	0	0.6	2
194.166	n/a	97083	fixpoint_ON	4	n/a	n/a	n/a
194.682	2.4	97341	stim_ON	8	0	1	3
199.994	n/a	99997	fixpoint_ON	4	n/a	n/a	n/a
200.512	2.4	100256	stim_ON	8	1	1	1
205.824	n/a	102912	fixpoint_ON	4	n/a	n/a	n/a
206.334	2.4	103167	stim_ON	8	1	0.6	3
211.644	n/a	105822	fixpoint_ON	4	n/a	n/a	n/a
212.162	2.4	106081	stim_ON	8	1	0.3	2
217.474	n/a	108737	fixpoint_ON	4	n/a	n/a	n/a
217.992	2.4	108996	stim_ON	8	1	0	1
223.304	n/a	111652	fixpoint_ON	4	n/a	n/a	n/a
223.822	2.4	111911	stim_ON	8	1	1	1
229.136	n/a	114568	fixpoint_ON	4	n/a	n/a	n/a
229.65	2.4	114825	stim_ON	8	1	0.6	2
234.964	n/a	117482	fixpoint_ON	4	n/a	n/a	n/a
235.482	2.4	117741	stim_ON	8	1	0.3	3
240.794	n/a	120397	fixpoint_ON	4	n/a	n/a	n/a
241.312	2.4	120656	stim_ON	8	1	0	1
246.624	n/a	123312	fixpoint_ON	4	n/a	n/a	n/a
247.142	2.4	123571	stim_ON	8	0	0	2
252.454	n/a	126227	fixpoint_ON	4	n/a	n/a	n/a
252.972	2.4	126486	stim_ON	8	1	0	3
258.284	n/a	129142	fixpoint_ON	4	n/a	n/a	n/a
258.804	2.4	129402	stim_ON	8	0	0.3	1
264.114	n/a	132057	fixpoint_ON	4	n/a	n/a	n/a
264.632	2.4	132316	stim_ON	8	1	0.3	2
269.946	n/a	134973	fixpoint_ON	4	n/a	n/a	n/a
270.462	2.4	135231	stim_ON	8	0	0.6	3
275.774	n/a	137887	fixpoint_ON	4	n/a	n/a	n/a
276.292	2.4	138146	stim_ON	8	1	0.6	1
281.606	n/a	140803	fixpoint_ON	4	n/a	n/a	n/a
282.122	2.4	141061	stim_ON	8	0	1	2
287.434	n/a	143717	fixpoint_ON	4	n/a	n/a	n/a
287.952	2.4	143976	stim_ON	8	1	1	3
293.264	n/a	146632	fixpoint_ON	4	n/a	n/a	n/a
293.782	2.4	146891	stim_ON	8	1	1	1
299.094	n/a	149547	fixpoint_ON	4	n/a	n/a	n/a
299.612	2.4	149806	stim_ON	8	1	0.6	2
304.924	n/a	152462	fixpoint_ON	4	n/a	n/a	n/a
305.442	2.4	152721	stim_ON	8	1	0.3	3
310.756	n/a	155378	fixpoint_ON	4	n/a	n/a	n/a
311.272	2.4	155636	stim_ON	8	1	0	1
316.586	n/a	158293	fixpoint_ON	4	n/a	n/a	n/a
317.102	2.4	158551	stim_ON	8	1	1	1
322.416	n/a	161208	fixpoint_ON	4	n/a	n/a	n/a
322.934	2.4	161467	stim_ON	8	1	0.6	3
328.246	n/a	164123	fixpoint_ON	4	n/a	n/a	n/a
328.764	2.4	164382	stim_ON	8	1	0.3	2
334.076	n/a	167038	fixpoint_ON	4	n/a	n/a	n/a
334.594	2.4	167297	stim_ON	8	1	0	1
339.906	n/a	169953	fixpoint_ON	4	n/a	n/a	n/a
340.424	2.4	170212	stim_ON	8	0	0	3
345.736	n/a	172868	fixpoint_ON	4	n/a	n/a	n/a
346.252	2.4	173126	stim_ON	8	0	0.3	1
351.566	n/a	175783	fixpoint_ON	4	n/a	n/a	n/a
352.086	2.4	176043	stim_ON	8	0	0.6	2
357.396	n/a	178698	fixpoint_ON	4	n/a	n/a	n/a
357.914	2.4	178957	stim_ON	8	0	1	3
