onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
30.322	n/a	15161	seqLearning_start	91	n/a	n/a	8
37.628	n/a	18814	learningBlock_1	31	n/a	n/a	8
37.644	n/a	18822	dot_no1_ON	11	n/a	n/a	8
38.208	n/a	19104	dot_no1_OFF	21	n/a	n/a	8
39.522	n/a	19761	dot_no6_ON	16	n/a	n/a	8
40.074	n/a	20037	dot_no6_OFF	26	n/a	n/a	8
41.388	n/a	20694	dot_no4_ON	14	n/a	n/a	8
41.94	n/a	20970	dot_no4_OFF	24	n/a	n/a	8
43.252	n/a	21626	dot_no2_ON	12	n/a	n/a	8
43.804	n/a	21902	dot_no2_OFF	22	n/a	n/a	8
45.118	n/a	22559	dot_no7_ON	17	n/a	n/a	8
45.672	n/a	22836	dot_no7_OFF	27	n/a	n/a	8
46.984	n/a	23492	dot_no3_ON	13	n/a	n/a	8
47.538	n/a	23769	dot_no3_OFF	23	n/a	n/a	8
48.852	n/a	24426	dot_no8_ON	18	n/a	n/a	8
49.404	n/a	24702	dot_no8_OFF	28	n/a	n/a	8
50.718	n/a	25359	dot_no5_ON	15	n/a	n/a	8
51.268	n/a	25634	dot_no5_OFF	25	n/a	n/a	8
52.582	n/a	26291	dot_no2_ON	12	n/a	n/a	8
53.132	n/a	26566	dot_no2_OFF	22	n/a	n/a	8
54.446	n/a	27223	dot_no7_ON	17	n/a	n/a	8
55	n/a	27500	dot_no7_OFF	27	1-6-4-2-7-3-8-5-2-7	1-6-4-2-7-3-8-5-2-7	8
88.438	n/a	44219	learningBlock_2	32	n/a	n/a	8
88.444	n/a	44222	dot_no1_ON	11	n/a	n/a	8
88.994	n/a	44497	dot_no1_OFF	21	n/a	n/a	8
90.308	n/a	45154	dot_no6_ON	16	n/a	n/a	8
90.862	n/a	45431	dot_no6_OFF	26	n/a	n/a	8
92.176	n/a	46088	dot_no4_ON	14	n/a	n/a	8
92.728	n/a	46364	dot_no4_OFF	24	n/a	n/a	8
94.04	n/a	47020	dot_no2_ON	12	n/a	n/a	8
94.592	n/a	47296	dot_no2_OFF	22	n/a	n/a	8
95.904	n/a	47952	dot_no7_ON	17	n/a	n/a	8
96.458	n/a	48229	dot_no7_OFF	27	n/a	n/a	8
97.77	n/a	48885	dot_no3_ON	13	n/a	n/a	8
98.322	n/a	49161	dot_no3_OFF	23	n/a	n/a	8
99.636	n/a	49818	dot_no8_ON	18	n/a	n/a	8
100.188	n/a	50094	dot_no8_OFF	28	n/a	n/a	8
101.502	n/a	50751	dot_no5_ON	15	n/a	n/a	8
102.054	n/a	51027	dot_no5_OFF	25	n/a	n/a	8
103.368	n/a	51684	dot_no2_ON	12	n/a	n/a	8
103.918	n/a	51959	dot_no2_OFF	22	n/a	n/a	8
105.232	n/a	52616	dot_no7_ON	17	n/a	n/a	8
105.784	n/a	52892	dot_no7_OFF	27	1-5-6-2-3-4-8-2-2-7	1-6-4-2-7-3-8-5-2-7	8
138.662	n/a	69331	learningBlock_3	33	n/a	n/a	8
138.668	n/a	69334	dot_no1_ON	11	n/a	n/a	8
139.222	n/a	69611	dot_no1_OFF	21	n/a	n/a	8
140.536	n/a	70268	dot_no6_ON	16	n/a	n/a	8
141.09	n/a	70545	dot_no6_OFF	26	n/a	n/a	8
142.402	n/a	71201	dot_no4_ON	14	n/a	n/a	8
142.954	n/a	71477	dot_no4_OFF	24	n/a	n/a	8
144.268	n/a	72134	dot_no2_ON	12	n/a	n/a	8
144.818	n/a	72409	dot_no2_OFF	22	n/a	n/a	8
146.13	n/a	73065	dot_no7_ON	17	n/a	n/a	8
146.682	n/a	73341	dot_no7_OFF	27	n/a	n/a	8
147.996	n/a	73998	dot_no3_ON	13	n/a	n/a	8
148.546	n/a	74273	dot_no3_OFF	23	n/a	n/a	8
149.86	n/a	74930	dot_no8_ON	18	n/a	n/a	8
150.414	n/a	75207	dot_no8_OFF	28	n/a	n/a	8
151.728	n/a	75864	dot_no5_ON	15	n/a	n/a	8
