onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
36.842	n/a	18421	surroundSuppB2_start	97	n/a	n/a	n/a
38.534	n/a	19267	fixpoint_ON	4	n/a	n/a	n/a
39.158	2.4	19579	stim_ON	8	1	1	3
44.49	n/a	22245	fixpoint_ON	4	n/a	n/a	n/a
45.008	2.4	22504	stim_ON	8	1	0.6	1
50.32	n/a	25160	fixpoint_ON	4	n/a	n/a	n/a
50.838	2.4	25419	stim_ON	8	1	0.3	2
56.15	n/a	28075	fixpoint_ON	4	n/a	n/a	n/a
56.668	2.4	28334	stim_ON	8	1	0	3
61.98	n/a	30990	fixpoint_ON	4	n/a	n/a	n/a
62.496	2.4	31248	stim_ON	8	1	0	2
67.81	n/a	33905	fixpoint_ON	4	n/a	n/a	n/a
68.33	2.4	34165	stim_ON	8	1	0.3	1
73.64	n/a	36820	fixpoint_ON	4	n/a	n/a	n/a
74.158	2.4	37079	stim_ON	8	1	0.6	3
79.47	n/a	39735	fixpoint_ON	4	n/a	n/a	n/a
79.99	2.4	39995	stim_ON	8	1	1	2
85.3	n/a	42650	fixpoint_ON	4	n/a	n/a	n/a
85.818	2.4	42909	stim_ON	8	1	1	3
91.13	n/a	45565	fixpoint_ON	4	n/a	n/a	n/a
91.648	2.4	45824	stim_ON	8	1	0.6	1
96.962	n/a	48481	fixpoint_ON	4	n/a	n/a	n/a
97.478	2.4	48739	stim_ON	8	1	0.3	2
102.792	n/a	51396	fixpoint_ON	4	n/a	n/a	n/a
103.308	2.4	51654	stim_ON	8	1	0	3
108.62	n/a	54310	fixpoint_ON	4	n/a	n/a	n/a
109.14	2.4	54570	stim_ON	8	0	1	1
114.45	n/a	57225	fixpoint_ON	4	n/a	n/a	n/a
114.97	2.4	57485	stim_ON	8	0	0.6	2
120.28	n/a	60140	fixpoint_ON	4	n/a	n/a	n/a
120.798	2.4	60399	stim_ON	8	0	0.3	3
