onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
62.252	n/a	31126	contrastChangeB2_start	95	n/a
68.098	n/a	34049	contrastTrial_start	5	n/a
70.898	n/a	35449	left_target	8	n/a
72.518	n/a	36259	left_buttonPress	12	smiley_face
73.298	n/a	36649	contrastTrial_start	5	n/a
76.098	n/a	38049	left_target	8	n/a
77.528	n/a	38764	left_buttonPress	12	smiley_face
78.498	n/a	39249	contrastTrial_start	5	n/a
82.898	n/a	41449	left_target	8	n/a
84.608	n/a	42304	left_buttonPress	12	smiley_face
85.298	n/a	42649	contrastTrial_start	5	n/a
85.468	n/a	42734	right_buttonPress	13	non_target
86.578	n/a	43289	left_buttonPress	12	non_target
88.098	n/a	44049	right_target	9	n/a
89.478	n/a	44739	left_buttonPress	12	sad_face
89.998	n/a	44999	right_buttonPress	13	non_target
90.498	n/a	45249	contrastTrial_start	5	n/a
96.498	n/a	48249	left_target	8	n/a
97.878	n/a	48939	left_buttonPress	12	smiley_face
98.908	n/a	49454	contrastTrial_start	5	n/a
104.908	n/a	52454	right_target	9	n/a
106.518	n/a	53259	left_buttonPress	12	sad_face
106.908	n/a	53454	right_buttonPress	13	non_target
107.308	n/a	53654	contrastTrial_start	5	n/a
113.308	n/a	56654	right_target	9	n/a
115.548	n/a	57774	right_buttonPress	13	smiley_face
115.708	n/a	57854	contrastTrial_start	5	n/a
120.108	n/a	60054	right_target	9	n/a
121.828	n/a	60914	right_buttonPress	13	smiley_face
122.508	n/a	61254	contrastTrial_start	5	n/a
128.508	n/a	64254	left_target	8	n/a
130.908	n/a	65454	contrastTrial_start	5	n/a
135.308	n/a	67654	left_target	8	n/a
137.198	n/a	68599	left_buttonPress	12	smiley_face
137.708	n/a	68854	contrastTrial_start	5	n/a
142.108	n/a	71054	left_target	8	n/a
144.508	n/a	72254	contrastTrial_start	5	n/a
144.898	n/a	72449	left_buttonPress	12	non_target
146.718	n/a	73359	right_buttonPress	13	non_target
147.308	n/a	73654	left_target	8	n/a
147.668	n/a	73834	right_buttonPress	13	sad_face
149.488	n/a	74744	left_buttonPress	12	non_target
149.71	n/a	74855	contrastTrial_start	5	n/a
154.108	n/a	77054	right_target	9	n/a
156.51	n/a	78255	contrastTrial_start	5	n/a
162.51	n/a	81255	left_target	8	n/a
164.91	n/a	82455	contrastTrial_start	5	n/a
169.31	n/a	84655	left_target	8	n/a
171.31	n/a	85655	left_buttonPress	12	smiley_face
171.71	n/a	85855	contrastTrial_start	5	n/a
174.51	n/a	87255	left_target	8	n/a
176.91	n/a	88455	contrastTrial_start	5	n/a
178.05	n/a	89025	right_buttonPress	13	non_target
178.52	n/a	89260	right_buttonPress	13	non_target
179.11	n/a	89555	left_buttonPress	12	non_target
179.71	n/a	89855	right_target	9	n/a
179.74	n/a	89870	right_buttonPress	13	smiley_face
180.27	n/a	90135	left_buttonPress	12	non_target
180.79	n/a	90395	right_buttonPress	13	non_target
181.59	n/a	90795	right_buttonPress	13	non_target
182.11	n/a	91055	contrastTrial_start	5	n/a
184.91	n/a	92455	right_target	9	n/a
187.31	n/a	93655	contrastTrial_start	5	n/a
191.71	n/a	95855	right_target	9	n/a
194.11	n/a	97055	contrastTrial_start	5	n/a
196.91	n/a	98455	right_target	9	n/a
198.66	n/a	99330	left_buttonPress	12	sad_face
199.31	n/a	99655	contrastTrial_start	5	n/a
200.22	n/a	100110	right_buttonPress	13	non_target
201.59	n/a	100795	right_buttonPress	13	non_target
202.22	n/a	101110	right_buttonPress	13	non_target
203.08	n/a	101540	right_buttonPress	13	non_target
203.71	n/a	101855	right_target	9	n/a
203.84	n/a	101920	right_buttonPress	13	smiley_face
205.49	n/a	102745	left_buttonPress	12	non_target
206.11	n/a	103055	contrastTrial_start	5	n/a
206.14	n/a	103070	left_buttonPress	12	non_target
212.11	n/a	106055	left_target	8	n/a
213.85	n/a	106925	left_buttonPress	12	smiley_face
214.51	n/a	107255	contrastTrial_start	5	n/a
220.51	n/a	110255	right_target	9	n/a
222.82	n/a	111410	left_buttonPress	12	sad_face
222.91	n/a	111455	contrastTrial_start	5	n/a
223.63	n/a	111815	right_buttonPress	13	non_target
228.91	n/a	114455	right_target	9	n/a
230.63	n/a	115315	left_buttonPress	12	sad_face
231.312	n/a	115656	contrastTrial_start	5	n/a
237.682	n/a	118841	break cnt	break cnt	n/a
269.598	n/a	134799	9999	9999	n/a
