onset	duration	sample	value	event_code	user_answer	correct_answer
0	n/a	0	break cnt	break cnt	n/a	n/a
114.982	n/a	57491	symbolSearch_start	92	n/a	n/a
117.892	n/a	58946	newPage	20	n/a	n/a
126.986	n/a	63493	trialResponse	14	0	0
146.186	n/a	73093	trialResponse	14	1	1
159.286	n/a	79643	trialResponse	14	0	0
184.23	n/a	92115	trialResponse	14	0	0
192.176	n/a	96088	trialResponse	14	0	0
198.158	n/a	99079	trialResponse	14	1	1
206.686	n/a	103343	trialResponse	14	0	0
214.782	n/a	107391	trialResponse	14	1	1
226.086	n/a	113043	trialResponse	14	0	0
238.238	n/a	119119	trialResponse	14	0	0
238.248	n/a	119124	newPage	20	n/a	n/a
243.371	n/a	121685.5	boundary	boundary	n/a	n/a
