onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
31.856	n/a	15928	contrastChangeB3_start	96	n/a
37.708	n/a	18854	contrastTrial_start	5	n/a
42.114	n/a	21057	left_target	8	n/a
43.784	n/a	21892	left_buttonPress	12	smiley_face
44.514	n/a	22257	contrastTrial_start	5	n/a
50.514	n/a	25257	left_target	8	n/a
52.034	n/a	26017	left_buttonPress	12	smiley_face
52.914	n/a	26457	contrastTrial_start	5	n/a
57.314	n/a	28657	right_target	9	n/a
59.034	n/a	29517	right_buttonPress	13	smiley_face
59.714	n/a	29857	contrastTrial_start	5	n/a
64.114	n/a	32057	left_target	8	n/a
65.354	n/a	32677	left_buttonPress	12	smiley_face
66.514	n/a	33257	contrastTrial_start	5	n/a
72.514	n/a	36257	right_target	9	n/a
73.994	n/a	36997	right_buttonPress	13	smiley_face
74.914	n/a	37457	contrastTrial_start	5	n/a
80.912	n/a	40456	right_target	9	n/a
83.312	n/a	41656	contrastTrial_start	5	n/a
87.712	n/a	43856	left_target	8	n/a
89.002	n/a	44501	left_buttonPress	12	smiley_face
90.112	n/a	45056	contrastTrial_start	5	n/a
92.912	n/a	46456	right_target	9	n/a
94.802	n/a	47401	right_buttonPress	13	smiley_face
95.312	n/a	47656	contrastTrial_start	5	n/a
98.112	n/a	49056	right_target	9	n/a
100.012	n/a	50006	right_buttonPress	13	smiley_face
100.512	n/a	50256	contrastTrial_start	5	n/a
106.512	n/a	53256	left_target	8	n/a
107.992	n/a	53996	left_buttonPress	12	smiley_face
108.912	n/a	54456	contrastTrial_start	5	n/a
113.312	n/a	56656	left_target	8	n/a
114.922	n/a	57461	left_buttonPress	12	smiley_face
115.712	n/a	57856	contrastTrial_start	5	n/a
121.712	n/a	60856	left_target	8	n/a
122.702	n/a	61351	left_buttonPress	12	smiley_face
124.112	n/a	62056	contrastTrial_start	5	n/a
126.912	n/a	63456	left_target	8	n/a
128.322	n/a	64161	left_buttonPress	12	smiley_face
129.312	n/a	64656	contrastTrial_start	5	n/a
134.802	n/a	67401	right_buttonPress	13	non_target
135.312	n/a	67656	right_target	9	n/a
137.712	n/a	68856	contrastTrial_start	5	n/a
142.112	n/a	71056	right_target	9	n/a
143.662	n/a	71831	right_buttonPress	13	smiley_face
144.512	n/a	72256	contrastTrial_start	5	n/a
147.312	n/a	73656	left_target	8	n/a
148.382	n/a	74191	left_buttonPress	12	smiley_face
149.712	n/a	74856	contrastTrial_start	5	n/a
152.512	n/a	76256	right_target	9	n/a
153.802	n/a	76901	right_buttonPress	13	smiley_face
154.912	n/a	77456	contrastTrial_start	5	n/a
157.712	n/a	78856	left_target	8	n/a
159.882	n/a	79941	left_buttonPress	12	smiley_face
160.122	n/a	80061	contrastTrial_start	5	n/a
162.922	n/a	81461	left_target	8	n/a
164.632	n/a	82316	left_buttonPress	12	smiley_face
165.322	n/a	82661	contrastTrial_start	5	n/a
168.122	n/a	84061	right_target	9	n/a
169.502	n/a	84751	right_buttonPress	13	smiley_face
170.532	n/a	85266	contrastTrial_start	5	n/a
172.702	n/a	86351	left_buttonPress	12	non_target
174.942	n/a	87471	right_target	9	n/a
176.372	n/a	88186	right_buttonPress	13	smiley_face
177.342	n/a	88671	contrastTrial_start	5	n/a
181.742	n/a	90871	right_target	9	n/a
183.922	n/a	91961	right_buttonPress	13	smiley_face
184.142	n/a	92071	contrastTrial_start	5	n/a
190.14	n/a	95070	left_target	8	n/a
191.96	n/a	95980	left_buttonPress	12	smiley_face
192.54	n/a	96270	contrastTrial_start	5	n/a
198.54	n/a	99270	right_target	9	n/a
199.87	n/a	99935	right_buttonPress	13	smiley_face
200.942	n/a	100471	contrastTrial_start	5	n/a
207.288	n/a	103644	break cnt	break cnt	n/a
246.004	n/a	123002	9999	9999	n/a
